# Time;avg. speed [m/s]
0.00;0.00
1.00;2.01
2.00;3.84
3.00;2.69
4.00;4.62
5.00;6.22
6.00;5.50
7.00;7.20
8.00;8.80
9.00;6.85
10.00;7.29
11.00;7.92
12.00;6.88
13.00;7.68
14.00;8.22
15.00;7.11
16.00;8.09
17.00;9.10
18.00;8.13
19.00;8.44
20.00;8.69
21.00;8.99
22.00;9.74
23.00;10.39
24.00;10.48
25.00;10.19
26.00;9.63
27.00;9.44
28.00;8.26
29.00;7.74
30.00;7.94
31.00;8.28
32.00;9.17
33.00;10.16
34.00;10.21
35.00;10.19
36.00;10.03
37.00;10.17
38.00;9.71
39.00;7.96
40.00;7.64
41.00;8.20
42.00;8.71
43.00;9.03
44.00;9.45
45.00;10.34
46.00;10.65
47.00;11.35
48.00;12.09
49.00;12.03
50.00;10.63
51.00;7.85
52.00;7.46
53.00;7.74
54.00;6.64
55.00;7.31
56.00;9.64
57.00;11.01
58.00;11.40
59.00;11.25
60.00;10.87
61.00;11.37
62.00;11.49
63.00;13.46
64.00;-1.00
65.00;-1.00
66.00;-1.00
